baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Contrast	OrthoGroup
78098.8392918876	2.12841746827095	0.443936827608061	4.79441518681589	1.63150069177247e-06	0.00623396414326262	Treatment_Wound_vs_Naive	OG0008153
2378.66527176374	2.66939186523483	0.48395185860745	5.51582108376624	3.47155299284209e-08	0.000265296079712992	Treatment_Wound_vs_Naive	OG0008945
4402.58836986755	1.56191538381059	0.348093946375399	4.48705126898745	7.22157013320311e-06	0.00542700995510213	Treatment_GramPos_vs_Naive	OG0000399
44445.0871647623	5.38226732493386	0.905552955356964	5.94362515531982	2.78786712728873e-09	1.67606571692599e-05	Treatment_GramPos_vs_Naive	OG0000635
4505.61055411694	1.80525699004228	0.366813083603406	4.92146292141014	8.5899678221277e-07	0.00129107216366579	Treatment_GramPos_vs_Naive	OG0000699
5320.34291848884	1.53059185426897	0.384585229477027	3.97985085477757	6.8958517537306e-05	0.0345482172861903	Treatment_GramPos_vs_Naive	OG0001255
4420.62682533129	2.42095263457864	0.668940374059558	3.6190858385281	0.000295645567047556	0.0987456193938837	Treatment_GramPos_vs_Naive	OG0002392
5911.81465215848	1.03895017765642	0.23873350645523	4.35192442436336	1.34947782712089e-05	0.0081130606966508	Treatment_GramPos_vs_Naive	OG0002872
1822.16070374379	1.04019853645432	0.285611691948666	3.64200264126889	0.000270525296821215	0.095670475558185	Treatment_GramPos_vs_Naive	OG0003297
646.350266323588	0.639603433117747	0.161858470717967	3.95162162524217	7.76234041601749e-05	0.0358978389085363	Treatment_GramPos_vs_Naive	OG0003803
6869.24113009018	2.04920208480585	0.456690177511612	4.48707282466952	7.22083980374101e-06	0.00542700995510213	Treatment_GramPos_vs_Naive	OG0003982
57814.6859580859	-1.57130571623914	0.359440300382004	-4.37153461804143	1.23376283378661e-05	0.0081130606966508	Treatment_GramPos_vs_Naive	OG0004253
93980.2535460564	3.64214305437679	0.965905628442012	3.77070279655736	0.000162788452560284	0.0652456117861616	Treatment_GramPos_vs_Naive	OG0004610
4343.74718508717	3.46664360940127	0.94718613816313	3.65993912888558	0.000252275169699083	0.0947923950144306	Treatment_GramPos_vs_Naive	OG0004914
427.024558104684	2.56083909292034	0.552003341264763	4.6391731743016	3.49805848970304e-06	0.00350505460668245	Treatment_GramPos_vs_Naive	OG0004924
546.374430856938	0.72623192945116	0.181150940683767	4.00898790097333	6.09795404382117e-05	0.0333280906467754	Treatment_GramPos_vs_Naive	OG0005280
6355.78769127991	0.753754376916816	0.198988744112703	3.78792469030262	0.00015191087730346	0.0652348710248859	Treatment_GramPos_vs_Naive	OG0007008
7515.79595637525	-1.51965359373981	0.320727302408005	-4.73814852159553	2.15679718366812e-06	0.00259333293364254	Treatment_GramPos_vs_Naive	OG0007158
78098.8392918876	2.47985417218027	0.429839451480955	5.76925678561208	7.96219004135121e-09	2.11344156906663e-05	Treatment_GramPos_vs_Naive	OG0008153
2378.66527176374	2.68123400473871	0.46860763451797	5.72170363271342	1.05461156141049e-08	2.11344156906663e-05	Treatment_GramPos_vs_Naive	OG0008945
4402.58836986755	1.65470451619252	0.359506640004127	4.60270919105562	4.17030342479287e-06	0.00637389175445343	Treatment_GramNeg_vs_Naive	OG0000399
44445.0871647623	3.84364289374279	0.93524993283147	4.109749446446	3.96088645233617e-05	0.0378363678359412	Treatment_GramNeg_vs_Naive	OG0000635
4505.61055411694	1.88134133015088	0.37883756391544	4.96608971588366	6.83163600092616e-07	0.00213891107523419	Treatment_GramNeg_vs_Naive	OG0000699
1028.25888992086	-0.394230256245313	0.0943869932197402	-4.17674345582251	2.95712218347621e-05	0.032283325323036	Treatment_GramNeg_vs_Naive	OG0000954
139.714002554748	2.94618571891707	0.658846816335278	4.47173097884076	7.75889954008266e-06	0.00988225171421862	Treatment_GramNeg_vs_Naive	OG0002205
6869.24113009018	2.23316552155158	0.471659104668571	4.73470245659902	2.19376691860808e-06	0.00419119169800074	Treatment_GramNeg_vs_Naive	OG0003982
78098.8392918876	2.7553995679655	0.443934945974533	6.20676428596268	5.40866281039876e-10	4.13330011970673e-06	Treatment_GramNeg_vs_Naive	OG0008153
2378.66527176374	2.38398373211515	0.483967736681112	4.92591458361193	8.39666739819754e-07	0.00213891107523419	Treatment_GramNeg_vs_Naive	OG0008945
